gps_center,band_psd,n_avg
1256701248.0,1.836539e-46,63
1256701376.0,1.866036e-46,63
1256701504.0,1.836833e-46,63
1256701632.0,1.869728e-46,63
1256701760.0,1.869243e-46,63
1256701888.0,1.864861e-46,63
1256702016.0,1.879882e-46,63
1256702144.0,1.845219e-46,63
1256702272.0,1.858006e-46,63
1256702400.0,1.847032e-46,63
1256702528.0,1.840514e-46,63
1256702656.0,1.844736e-46,63
1256702784.0,1.846675e-46,63
1256702912.0,1.842327e-46,63
1256703040.0,1.858565e-46,63
1256703168.0,1.840676e-46,63
1256703296.0,1.859431e-46,63
1256703424.0,1.832107e-46,63
1256703552.0,1.837451e-46,63
1256703680.0,1.861412e-46,63
1256703808.0,1.828447e-46,63
1256703936.0,1.832311e-46,63
1256704064.0,1.836007e-46,63
1256704192.0,1.838751e-46,63
1256704320.0,1.834091e-46,63
1256704448.0,1.842737e-46,63
1256704576.0,1.846339e-46,63
1256704704.0,1.860335e-46,63
1256704832.0,1.814691e-46,63
1256704960.0,1.860314e-46,63
1256705088.0,1.852901e-46,63
1256710490.0,1.756769e-46,63
1256710618.0,1.803590e-46,63
1256710746.0,1.818059e-46,63
1256710874.0,1.830566e-46,63
1256711002.0,1.818424e-46,63
1256711130.0,1.773974e-46,63
1256711258.0,1.816957e-46,63
1256711386.0,1.830830e-46,63
1256711514.0,1.814454e-46,63
1256711642.0,1.841617e-46,63
1256711770.0,1.830423e-46,63
1256711898.0,1.877240e-46,63
1256712026.0,1.842988e-46,63
1256712154.0,1.847384e-46,63
1256712282.0,1.820300e-46,63
1256712410.0,1.854311e-46,63
1256712538.0,1.877984e-46,63
1256712666.0,1.821263e-46,63
1256712794.0,1.845372e-46,63
1256712922.0,1.858781e-46,63
1256713050.0,1.886819e-46,63
1256713178.0,1.876431e-46,63
1256713306.0,1.857041e-46,63
1256713434.0,1.937197e-46,63
1256713562.0,1.907536e-46,63
1256713690.0,1.854299e-46,63
1256713818.0,1.882951e-46,63
1256713946.0,1.870969e-46,63
1256714074.0,1.883173e-46,63
1256714304.0,1.785685e-46,63
1256714432.0,1.838389e-46,63
1256714560.0,1.809495e-46,63
1256714688.0,1.842475e-46,63
1256714816.0,1.855067e-46,63
1256714944.0,1.822949e-46,63
1256715072.0,1.834972e-46,63
1256715200.0,1.861508e-46,63
1256715328.0,1.912916e-46,63
1256715456.0,1.916436e-46,63
1256715584.0,1.918121e-46,63
1256715712.0,1.904723e-46,63
1256715840.0,1.890113e-46,63
