
=== independent dephasing (rate 1) ===
 state                     t        C     c_A  c_A*c_B      DQ      ZQ   analytic
 Phi_tilt(0.2,0.8)     2.000  0.00000  0.0000  0.00000  0.1083  0.0000    0.00000
 Phi_tilt(0.2,0.8)     3.000  0.00000  0.0000  0.00000  0.0398  0.0000    0.00000
 product |eg>          0.000  0.00000  0.0000  0.00000  0.0000  0.0000        nan
 product |eg>          0.100  0.00000  0.0000  0.00000  0.0000  0.0000        nan
 product |eg>          0.250  0.00000  0.0000  0.00000  0.0000  0.0000        nan
 product |eg>          0.500  0.00000  0.0000  0.00000  0.0000  0.0000        nan
 product |eg>          0.693  0.00000  0.0000  0.00000  0.0000  0.0000        nan
 product |eg>          0.750  0.00000  0.0000  0.00000  0.0000  0.0000        nan
 product |eg>          1.000  0.00000  0.0000  0.00000  0.0000  0.0000        nan
 product |eg>          1.500  0.00000  0.0000  0.00000  0.0000  0.0000        nan
 product |eg>          2.000  0.00000  0.0000  0.00000  0.0000  0.0000        nan
 product |eg>          3.000  0.00000  0.0000  0.00000  0.0000  0.0000        nan

=== finite record channels, |Psi+> under independent damping (Gamma = 1, bandwidth 40) ===
    N    0.50    1.00    2.00    3.00    5.00   (exp(-t): 0.607 0.368 0.135 0.050 0.007)
    1   0.093   0.664   0.107   0.079   0.998
    4   0.735   0.965   0.887   0.813   0.755
   16   0.637   0.398   0.152   0.490   0.372
   64   0.624   0.381   0.140   0.051   0.007
